surprisal,density,model,context_len
0,0.010979610965051644,boyce_ngram,bysent
0.03183856208294723,0.011675544806518962,boyce_ngram,bysent
0.06367712416589447,0.012388311988326914,boyce_ngram,bysent
0.0955156862488417,0.013117104936167825,boyce_ngram,bysent
0.12735424833178893,0.013863402972410194,boyce_ngram,bysent
0.15919281041473615,0.014625897391742975,boyce_ngram,bysent
0.1910313724976834,0.015401435853286793,boyce_ngram,bysent
0.22286993458063065,0.01618938942880875,boyce_ngram,bysent
0.25470849666357787,0.016989177355281056,boyce_ngram,bysent
0.2865470587465251,0.0178018767043861,boyce_ngram,bysent
0.3183856208294723,0.018627106954089857,boyce_ngram,bysent
0.3502241829124196,0.019462650163128807,boyce_ngram,bysent
0.3820627449953668,0.020308352255180958,boyce_ngram,bysent
0.413901307078314,0.021164127910857814,boyce_ngram,bysent
0.4457398691612613,0.022031383254228907,boyce_ngram,bysent
0.4775784312442085,0.022910905104739955,boyce_ngram,bysent
0.5094169933271557,0.023801067291631964,boyce_ngram,bysent
0.541255555410103,0.024702221207998847,boyce_ngram,bysent
0.5730941174930502,0.025614768366092045,boyce_ngram,bysent
0.6049326795759974,0.02654075180053755,boyce_ngram,bysent
0.6367712416589446,0.0274820776710868,boyce_ngram,bysent
0.6686098037418919,0.02843690333599294,boyce_ngram,bysent
0.7004483658248392,0.029405826001569754,boyce_ngram,bysent
0.7322869279077864,0.030389444113274225,boyce_ngram,bysent
0.7641254899907336,0.031390168757498976,boyce_ngram,bysent
0.7959640520736808,0.03241063546762109,boyce_ngram,bysent
0.827802614156628,0.033447975919843394,boyce_ngram,bysent
0.8596411762395753,0.034502610393474346,boyce_ngram,bysent
0.8914797383225226,0.03557490521728462,boyce_ngram,bysent
0.9233183004054698,0.036666968361101025,boyce_ngram,bysent
0.955156862488417,0.03778145812079987,boyce_ngram,bysent
0.9869954245713642,0.038914177548128814,boyce_ngram,bysent
1.0188339866543115,0.04006498416757647,boyce_ngram,bysent
1.0506725487372588,0.04123364534292808,boyce_ngram,bysent
1.082511110820206,0.042421260981242645,boyce_ngram,bysent
1.1143496729031532,0.04362960336922589,boyce_ngram,bysent
1.1461882349861003,0.04485362831190472,boyce_ngram,bysent
1.1780267970690477,0.046092450311566176,boyce_ngram,bysent
1.2098653591519948,0.04734509119541563,boyce_ngram,bysent
1.241703921234942,0.04861125544760666,boyce_ngram,bysent
1.2735424833178892,0.04989091120461875,boyce_ngram,bysent
1.3053810454008365,0.05117934633467721,boyce_ngram,bysent
1.3372196074837839,0.052475022187711495,boyce_ngram,bysent
1.369058169566731,0.05377633747594688,boyce_ngram,bysent
1.4008967316496783,0.05508169844222586,boyce_ngram,bysent
1.4327352937326254,0.05638856293883514,boyce_ngram,bysent
1.4645738558155728,0.05769402897720076,boyce_ngram,bysent
1.4964124178985199,0.05899621069927494,boyce_ngram,bysent
1.5282509799814672,0.060293208239055776,boyce_ngram,bysent
1.5600895420644145,0.06158264532133549,boyce_ngram,bysent
1.5919281041473616,0.06285915419204322,boyce_ngram,bysent
1.623766666230309,0.06412290741049198,boyce_ngram,bysent
1.655605228313256,0.06537206773803919,boyce_ngram,bysent
1.6874437903962034,0.06660483381267297,boyce_ngram,bysent
1.7192823524791505,0.06781876131424094,boyce_ngram,bysent
1.7511209145620978,0.06900582891768166,boyce_ngram,bysent
1.7829594766450452,0.07016993840176076,boyce_ngram,bysent
1.8147980387279923,0.07130966480621774,boyce_ngram,bysent
1.8466366008109396,0.07242365812542251,boyce_ngram,bysent
1.8784751628938867,0.07351008055178201,boyce_ngram,bysent
1.910313724976834,0.074558938105344,boyce_ngram,bysent
1.9421522870597812,0.0755777421494459,boyce_ngram,bysent
1.9739908491427285,0.07656573796658983,boyce_ngram,bysent
2.0058294112256756,0.07752226778284971,boyce_ngram,bysent
2.037667973308623,0.07844656009204576,boyce_ngram,bysent
2.0695065353915703,0.07932777558068768,boyce_ngram,bysent
2.1013450974745176,0.08017616878305951,boyce_ngram,bysent
2.1331836595574645,0.08099176295196912,boyce_ngram,bysent
2.165022221640412,0.08177467726442514,boyce_ngram,bysent
2.196860783723359,0.08252512667789166,boyce_ngram,bysent
2.2286993458063065,0.08323341640539984,boyce_ngram,bysent
2.2605379078892534,0.08391044636444896,boyce_ngram,bysent
2.2923764699722007,0.08455713951288832,boyce_ngram,bysent
2.324215032055148,0.0851742719616837,boyce_ngram,bysent
2.3560535941380953,0.08576268556062917,boyce_ngram,bysent
2.3878921562210427,0.08631531215538454,boyce_ngram,bysent
2.4197307183039896,0.08684162219942627,boyce_ngram,bysent
2.451569280386937,0.08734324251990044,boyce_ngram,bysent
2.483407842469884,0.08782127017713594,boyce_ngram,bysent
2.5152464045528315,0.08827681419333581,boyce_ngram,bysent
2.5470849666357784,0.08870528721159457,boyce_ngram,bysent
2.5789235287187258,0.08911383937312894,boyce_ngram,bysent
2.610762090801673,0.0895041776645395,boyce_ngram,bysent
2.6426006528846204,0.08987727872143242,boyce_ngram,bysent
2.6744392149675678,0.09023407785269423,boyce_ngram,bysent
2.7062777770505146,0.09057150562973791,boyce_ngram,bysent
2.738116339133462,0.09089428121248437,boyce_ngram,bysent
2.7699549012164093,0.0912037107535376,boyce_ngram,bysent
2.8017934632993566,0.09150034329903353,boyce_ngram,bysent
2.833632025382304,0.09178466825569272,boyce_ngram,bysent
2.865470587465251,0.09205405657562885,boyce_ngram,bysent
2.897309149548198,0.0923114387725305,boyce_ngram,bysent
2.9291477116311455,0.09255771555677492,boyce_ngram,bysent
