raw_weight,normalized_weight,mean_theoretical,variance_theoretical,mean_empirical,variance_empirical
1.0012027862165218,0.00011903441181701963,8400.932005588482,7.056725763051532e7,8429.38,8.088432605616163e7
1.0021484178742577,0.00011914683929896812,8393.004849174044,7.043413739340985e7,7401.12,6.284710471272727e7
1.0024550924658984,0.00011918330027384527,8390.4372315779,7.039104649981706e7,7666.05,4.980947008838384e7
1.0032484314276782,0.00011927762146230684,8383.802323858477,7.027975760321096e7,9499.69,1.167917060948485e8
1.0042510208856246,0.00011939682073748224,8375.432392782885,7.013949233368406e7,9718.14,7.661642822262627e7
1.004386320056475,0.00011941290664679376,8374.3041525474,7.012059573522009e7,8967.94,6.174039512767676e7
1.0045320788379357,0.00011943023611396784,8373.089031204268,7.010024683544202e7,8736.42,9.059271529656567e7
1.0054777197733429,0.00011954266469895177,8365.214231407113,6.996844392310469e7,8392.87,7.206479375060605e7
1.0063505699966961,0.0001196464390934816,8357.958728873533,6.98471161548244e7,8113.37,6.869367686171718e7
1.006698246932549,0.00011968777489491098,8355.072194115282,6.979887629668425e7,7689.22,5.017132663797978e7
1.007007079127935,0.00011972449239034152,8352.509833490616,6.975606800872394e7,8155.14,6.848137604080808e7
1.009973617223916,0.00012007718828996269,8327.976481138096,6.934686429390812e7,8504.36,7.23655404549495e7
1.010210622578618,0.0001201053661909662,8326.022655890421,6.93143272437447e7,8342.88,8.504518792484848e7
1.0102803705513739,0.00012011365862585224,8325.447841988958,6.930475632183662e7,11039.38,1.2376255114707072e8
1.012977427963055,0.00012043431558671567,8303.281295935752,6.893617699814059e7,8226.52,6.437268576727272e7
1.0136386437698157,0.00012051292846686886,8297.864907290157,6.884626415473019e7,7956.33,5.4674867900101006e7
1.0155828772185636,0.00012074408112464485,8281.979461731908,6.858290182508741e7,7926.87,6.22882213869697e7
1.0171502906088126,0.00012093043311402302,8269.217055206598,6.837168148906448e7,8846.43,7.612766622737373e7
1.0181503665539398,0.00012104933355411311,8261.094635047837,6.823742347458112e7,8295.9,6.253317376767675e7
1.0183602908069491,0.00012107429174472854,8259.391697358735,6.820929181870103e7,8184.22,5.068853116323231e7
1.0196230386442695,0.00012122442161667653,8249.16288866362,6.804043920081647e7,8293.17,6.1156889698080815e7
1.020284316354778,0.00012130304185665361,8243.816351956955,6.795226422844091e7,8845.96,9.917533820040402e7
1.0218705512194313,0.0001214916315576783,8231.01959516651,6.774145255641988e7,8404.45,9.076615346212122e7
1.025292228136191,0.0001218984395538421,8203.550461023773,6.729003661610235e7,8722.99,6.780067972717172e7
1.0261999269487103,0.00012200635714630462,8196.29422097116,6.717104266250427e7,8639.19,7.907991476151514e7
1.0268236022731985,0.00012208050678555582,8191.315930204812,6.7089465352496915e7,6784.16,5.0440233388282835e7
1.028356061843857,0.00012226270306600766,8179.1092043835815,6.688964826802784e7,8563.14,5.350520418222223e7
1.0291294227640677,0.00012235464903692075,8172.962840980796,6.6789148637211904e7,7047.3,3.8626962656565666e7
1.029323074265966,0.0001223776725371979,8171.425222162484,6.676401873617103e7,8314.81,7.242642973121212e7
1.029524002468015,0.00012240156117462243,8169.830436830493,6.6737959536125116e7,7478.56,4.9224595905454546e7
1.0303391478310688,0.0001224984749568974,8163.366934583164,6.663239634171114e7,8622.18,5.6654199280404046e7
1.030396425368709,0.00012250528476415843,8162.913150442075,6.662498818850971e7,7636.98,3.8954378767272726e7
1.0321478842799177,0.00012271351818518719,8149.06144644063,6.63990533964186e7,8434.78,7.428218910262626e7
1.0331220442271785,0.00012282933743572693,8141.37746630174,6.627388567133945e7,8037.83,6.176819897080807e7
1.034009264457846,0.00012293482030070052,8134.391847273085,6.616019633313555e7,9224.05,6.522702554292929e7
1.0342374065293862,0.00012296194443346401,8132.597484590937,6.6131009248890236e7,7506.78,4.720492716323232e7
1.0349101603849318,0.00012304192908851587,8127.310807038827,6.604505364340307e7,6917.3,4.170255748484849e7
1.0354513874707836,0.0001231062763403521,8123.062688008681,6.597602437063081e7,8225.75,5.985466410858586e7
1.0359671092493894,0.00012316759123022527,8119.01889134778,6.591034873917077e7,7444.51,4.2068489080707066e7
1.0366687319030863,0.00012325100813741937,8113.52389819842,6.5821156522738695e7,8100.62,5.087623938949494e7
1.0375441734159099,0.00012335509061401031,8106.678005929192,6.5710121613810174e7,7031.02,4.975436353494949e7
1.037816907912966,0.00012338751640315735,8104.547600525421,6.567558726158184e7,8234.56,6.720844909737374e7
1.0391178625045228,0.00012354218873002112,8094.400870501957,6.551123105151233e7,7827.04,5.009504902868686e7
1.0411282915190754,0.00012378121147200877,8078.77050246947,6.525845406106835e7,8698.2,9.575390989898992e7
1.0415687896416739,0.00012383358291528866,8075.35384552407,6.520326437657485e7,6768.38,4.99381942581818e7
1.0426479079855193,0.00012396188081768066,8066.996026550851,6.506835789636066e7,10087.23,8.540294656272727e7
1.043208421827889,0.00012402852109921034,8062.661645381553,6.499845014626141e7,7275.33,4.789550747585859e7
1.044322930469781,0.0001241610266040681,8054.05711720521,6.485978199008669e7,9417.24,9.018114289131314e7
1.0450239649975563,0.00012424437358814162,8048.654205581218,6.477278586681463e7,7447.31,5.419848892313131e7
1.0459717458292221,0.00012435705658841084,8041.361121224806,6.4655447320824645e7,7138.1,6.178980237373737e7
1.0488960755968846,0.00012470473428032792,8018.941748851866,6.429540782973056e7,8543.47,7.280771914050505e7
1.049344181799588,0.0001247580102589855,8015.5173838064375,6.424050341271938e7,7865.47,6.3434272999090895e7
