raw_weight,normalized_weight,mean_theoretical,variance_theoretical,mean_empirical,variance_empirical
1.000079655490134,0.00013101366266744295,7632.791722939147,5.825187669404541e7,8920.37,8.469191134656565e7
1.0010798148871274,0.0001311446867765047,7625.165948996384,5.813553058378492e7,7030.8,4.195803509090909e7
1.002081976765051,0.00013127597321703138,7617.540175053623,5.801930077838093e7,7212.6,5.107582636363635e7
1.003086147143868,0.00013140752277765761,7609.91440111086,5.790318727783334e7,7907.64,6.808687538424243e7
1.0040923320676947,0.00013153933625018215,7602.288627168097,5.7787190082142234e7,8584.2,1.0668743913131313e8
1.0051005376049236,0.000131671414429584,7594.662853225335,5.767130919130756e7,7788.83,6.33248065061616e7
1.006110769848345,0.00013180375811403831,7587.037079282573,5.755554460532935e7,7247.32,5.991570605818182e7
1.0071230349152684,0.00013193636810493245,7579.411305339812,5.743989632420762e7,7691.06,7.150573191555555e7
1.0081373389476485,0.00013206924520688224,7571.785531397049,5.73243643479423e7,6586.08,2.9489443751111113e7
1.0091536881122065,0.00013220239022774808,7564.1597574542875,5.720894867653345e7,7230.29,7.19409816221212e7
1.0101720886005574,0.00013233580397865153,7556.533983511526,5.7093649309981056e7,6506.03,4.806343390818182e7
1.0111925466293346,0.0001324694872739916,7548.908209568763,5.69784662482851e7,6828.3,4.1714261222222224e7
1.0122150684403164,0.00013260344093146145,7541.282435626,5.686339949144559e7,7092.86,4.157671313171717e7
1.0132396603005536,0.0001327376657720649,7533.656661683239,5.674844903946256e7,6265.6,4.691705690909091e7
1.014266328502498,0.00013287216262013348,7526.030887740476,5.663361489233596e7,8645.86,1.0490416505090909e8
1.0152950793641295,0.00013300693230334295,7518.405113797714,5.651889705006582e7,6880.88,4.524157976323233e7
1.016325919229088,0.0001331419756527306,7510.779339854952,5.640429551265214e7,7872.89,6.379595339181818e7
1.0173588544668022,0.00013327729350271213,7503.153565912189,5.6289810280094884e7,8030.87,6.3744250558686875e7
1.018393891472621,0.0001334128866910989,7495.527791969428,5.617544135239412e7,7529.92,7.048411488242425e7
1.019431036667946,0.00013354875605911526,7487.902018026665,5.606118872954979e7,7460.16,6.5228403428686865e7
1.0204702965003636,0.00013368490245141586,7480.276244083903,5.59470524115619e7,6628.84,3.558332520646464e7
1.02151167744378,0.00013382132671610323,7472.65047014114,5.583303239843047e7,8253.66,4.553218956e7
1.0225551859985533,0.00013395802970474533,7465.024696198379,5.571912869015551e7,7416.22,6.348854734505051e7
1.0236008286916314,0.00013409501227239337,7457.3989222556165,5.560534128673698e7,7964.77,7.459006593646465e7
1.0246486120766858,0.0001342322752775995,7449.773148312854,5.5491670188174896e7,7113.6,4.724349717171718e7
1.0256985427342498,0.00013436981958243476,7442.1473743700935,5.53781153944693e7,8004.02,6.560308739353535e7
1.0267506272718565,0.00013450764605250738,7434.52160042733,5.526467690562013e7,7539.82,4.9366971684444435e7
1.0278048723241762,0.00013464575555698053,7426.895826484568,5.515135472162741e7,7882.75,6.60824797449495e7
1.0288612845531566,0.00013478414896859092,7419.270052541805,5.5038148842491135e7,8661.41,7.875889258777778e7
1.0299198706481634,0.00013492282716366698,7411.644278599044,5.4925059268211335e7,6634.52,3.2168670635959595e7
1.030980637326121,0.0001350617910221475,7404.018504656283,5.481208599878801e7,9095.81,8.884545439787878e7
1.032043591331655,0.00013520104142760028,7396.392730713519,5.4699229034221075e7,7705.3,7.049868102020201e7
1.0331087394372345,0.0001353405792672405,7388.766956770757,5.458648837451062e7,6994.57,5.8372440853636354e7
1.034176088443316,0.00013548040543195003,7381.141182827995,5.447386401965663e7,6533.57,3.2644479641515154e7
1.0352456451784897,0.00013562052081629616,7373.515408885231,5.436135596965906e7,8152.61,9.731909759383838e7
1.0363174164996223,0.00013576092631855055,7365.88963494247,5.424896422451798e7,7903.52,4.652996885818182e7
1.0373914092920062,0.00013590162284070876,7358.263860999709,5.4136688784233354e7,7504.73,5.4210187673838384e7
1.0384676304695057,0.00013604261128850935,7350.638087056946,5.402452964880514e7,8302.98,1.0458527828242423e8
1.039546086974705,0.0001361838925714532,7343.012313114184,5.39124868182334e7,7545.97,6.699630689808082e7
1.0406267857790583,0.00013632546760282332,7335.386539171423,5.380056029251813e7,7363.95,7.744649035101008e7
1.04170973388304,0.00013646733729970448,7327.760765228659,5.368875007165928e7,8728.78,5.328623389050506e7
1.0427949383162947,0.0001366095025830028,7320.134991285898,5.3577056155656904e7,8485.58,6.744946327636363e7
1.043882406137791,0.00013675196437746596,7312.509217343136,5.3465478544510975e7,7240.53,6.660413617080808e7
1.0449721444359736,0.0001368947236117031,7304.883443400373,5.335401723822149e7,7569.23,4.7216606865757585e7
1.0460641603289174,0.00013703778121820494,7297.25766945761,5.324267223678845e7,5915.36,3.495325758626262e7
1.0471584609644817,0.0001371811381333642,7289.631895514849,5.313144354021189e7,8026.71,5.708234350090909e7
1.0482550535204684,0.00013732479529749605,7282.006121572087,5.302033114849178e7,7338.43,4.0218586388989896e7
1.0493539452047769,0.00013746875365485857,7274.380347629324,5.29093350616281e7,7660.27,6.99039089061616e7
1.050455143255562,0.00013761301415367343,7266.754573686562,5.279845527962088e7,7386.16,6.391212514585859e7
1.051558654941394,0.0001377575777461468,7259.1287997438,5.2687691802470125e7,7737.8,6.2569598202020206e7
1.0526644875614188,0.00013790244538849033,7251.503025801038,5.257704463017581e7,6351.34,5.5787620226666674e7
1.0537726484455168,0.00013804761804094202,7243.8772518582755,5.2466513762737945e7,7232.49,5.2387074999898985e7
