raw_weight,normalized_weight,mean_theoretical,variance_theoretical,mean_empirical,variance_empirical
1.0012027862165218,0.00011903441181701963,689.5218317014346,67793.45194744505,650.28,73201.84
1.0021484178742577,0.00011914683929896812,689.337520897291,67801.80738721776,661.19,75441.4887878788
1.0024550924658984,0.00011918330027384527,689.2777743442429,67804.50902641431,707.59,70544.24434343434
1.0032484314276782,0.00011927762146230684,689.1232760335768,67811.47957536462,703.58,78334.95313131314
1.0042510208856246,0.00011939682073748224,688.9281521434335,67820.2508851164,725.09,60187.53727272727
1.004386320056475,0.00011941290664679376,688.901830889352,67821.4313448898,674.54,64758.63474747475
1.0045320788379357,0.00011943023611396784,688.8734776461966,67822.70220520144,729.46,56110.91757575757
1.0054777197733429,0.00011954266469895177,688.6896013807989,67830.92559529282,668.45,77220.93686868685
1.0063505699966961,0.0001196464390934816,688.5199887143295,67838.48284307914,694.55,62488.43181818181
1.006698246932549,0.00011968777489491098,688.452457277595,67841.48422704305,691.71,74060.511010101
1.007007079127935,0.00011972449239034152,688.3924848898821,67844.14605467895,673.17,65105.8798989899
1.009973617223916,0.00012007718828996269,687.8170800822408,67869.51289762976,666.31,65227.08474747476
1.010210622578618,0.0001201053661909662,687.7711615828757,67871.52380369708,650.72,66460.8298989899
1.0102803705513739,0.00012011365862585224,687.7576497631188,67872.11514841014,623.13,83110.6596969697
1.012977427963055,0.00012043431558671567,687.2356788379682,67894.82781982224,727.98,56501.65616161616
1.0136386437698157,0.00012051292846686886,687.1078637131656,67900.35045289504,710.5,76157.70707070707
1.0155828772185636,0.00012074408112464485,686.7323838478319,67916.48544084281,748.19,54806.05444444444
1.0171502906088126,0.00012093043311402302,686.4300533815652,67929.3809008961,684.26,73789.34585858586
1.0181503665539398,0.00012104933355411311,686.2373289013591,67937.55652413395,691.41,63388.89080808081
1.0183602908069491,0.00012107429174472854,686.1968917368854,67939.26749999129,700.07,68808.79303030304
1.0196230386442695,0.00012122442161667653,685.95377847072,67949.52178347891,702.29,74609.62212121212
1.020284316354778,0.00012130304185665361,685.8265510741147,67954.86602969363,729.98,60937.53494949495
1.0218705512194313,0.0001214916315576783,685.5216074547754,67967.61358858389,704.53,59387.16070707072
1.025292228136191,0.0001218984395538421,684.8649729384854,67994.76727874979,664.91,60372.30494949495
1.0261999269487103,0.00012200635714630462,684.6910473342258,68001.89201096445,683.89,64114.82616161617
1.0268236022731985,0.00012208050678555582,684.5716083712462,68006.7683555372,683.08,75636.05414141415
1.028356061843857,0.00012226270306600766,684.2783524509518,68018.68457270291,684.83,72177.8192929293
1.0291294227640677,0.00012235464903692075,684.130479915751,68024.66277541872,678.91,73515.63828282828
1.029323074265966,0.0001223776725371979,684.0934648601101,68026.15602641512,653.75,65003.583333333336
1.029524002468015,0.00012240156117462243,684.0550642472094,68027.70382064156,684.06,65420.01656565656
1.0303391478310688,0.0001224984749568974,683.8993325089265,68033.96670403634,642.56,74343.86505050505
1.030396425368709,0.00012250528476415843,683.8883931172955,68034.40578960773,688.0,67410.72727272728
1.0321478842799177,0.00012271351818518719,683.5540959469586,68047.7699478573,700.18,76999.56323232323
1.0331220442271785,0.00012282933743572693,683.3683381311812,68055.15088954417,697.72,72887.21373737374
1.034009264457846,0.00012293482030070052,683.1992689737463,68061.84074036207,689.65,72810.61363636363
1.0342374065293862,0.00012296194443346401,683.155811119407,68063.55600552063,683.89,72434.2201010101
1.0349101603849318,0.00012304192908851587,683.0277014866533,68068.60219778644,670.07,65018.93444444444
1.0354513874707836,0.0001231062763403521,682.9246818245647,68072.6490065087,708.61,75975.73525252525
1.0359671092493894,0.00012316759123022527,682.826553349533,68076.49448157963,703.3,72645.78787878787
1.0366687319030863,0.00012325100813741937,682.6931097412088,68081.70949407708,677.09,75881.45646464647
1.0375441734159099,0.00012335509061401031,682.5266990608437,68088.1896253103,709.3,60659.36363636364
1.037816907912966,0.00012338751640315735,682.4748764416092,68090.20236215566,654.88,67032.57131313132
1.0391178625045228,0.00012354218873002112,682.2278166954112,68099.76352801773,655.47,73219.56474747475
1.0411282915190754,0.00012378121147200877,681.8464655638737,68114.41022023931,688.03,71274.43343434343
1.0415687896416739,0.00012383358291528866,681.7629806871067,68117.59860266943,719.3,68572.71717171716
1.0426479079855193,0.00012396188081768066,681.5585707565756,68125.37788734888,678.26,81233.30545454545
1.043208421827889,0.00012402852109921034,681.4524573504326,68129.4009567934,634.14,74380.30343434344
1.044322930469781,0.0001241610266040681,681.2415881761915,68137.36456157255,678.84,76476.13575757576
1.0450239649975563,0.00012424437358814162,681.1090339548994,68142.3494050217,695.49,68393.96959595958
1.0459717458292221,0.00012435705658841084,680.9299271913537,68149.05898203037,663.93,70255.41929292929
1.0488960755968846,0.00012470473428032792,680.3780485850177,68169.5458306885,683.58,61509.619797979794
1.049344181799588,0.0001247580102589855,680.2935815505182,68172.65648072166,684.17,57628.72838383839
1.0493748448045883,0.00012476165582691137,680.2878026060944,68172.8690588543,682.61,56628.2403030303
1.0503994977475601,0.00012488347826095008,680.0947610250172,68179.95228611468,719.43,47285.98494949496
1.0515466931513726,0.00012501986994104921,679.8787962908274,68187.83568108798,660.01,72846.95949494951
1.052290431704527,0.00012510829406694974,679.7388763139044,68192.92012745742,705.01,60351.38373737374
1.0530711735601663,0.00012520111756768944,679.5920728145788,68198.2352100201,622.12,74209.35919191918
1.0538819825048704,0.0001252975157870687,679.439700194548,68203.73081314808,690.07,73082.67181818183
1.0539615476203437,0.0001253069753959031,679.424752419226,68204.26877452311,691.77,62568.66373737374
